stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
STOP_c9fdaa14-1699-47fc-99af-d886d22c9431,,TJ Maxx Plaza/Aldi (OR),On Request,42.459371,-79.319229,,,0,,,,
STOP_1b9f05b4-3df1-4213-b79b-3691ae2b29a2,,Home Depot/Bob Evans (OR),On Request,42.457787,-79.313543,,,0,,,,
STOP_f5bf6e93-f408-4925-a8f7-880ec2c7f013,,Dunkirk Senior Center (OR),On Request,42.483913,-79.326941,,,0,,,,
q0fo,,W 8th St & Jones and Gifford (OR),On Request,42.098032,-79.252410,,,,,,,
STOP_cdf0109c-a9de-4c42-9a0c-fc52f1acec8b,,Fairmount & Big Tree (OR),On Request,42.098865,-79.348122,,,0,,,,
STOP_13581b6a-1760-4862-8bfc-6955a15a6fde,,Crane St. (OR),On Request,42.095972,-79.233345,,,0,,,,
x2b2,,Allen St & Willard St,,42.097228,-79.225551,,,,,,,
7uue,,WCA,,42.091670,-79.233036,,,,,,,
go4g,,Pardee Ave & Willard St,,42.097376,-79.215690,,,,,,,
54by,,Bush Elementary,,42.091219,-79.216597,,,,,,,
o4je,,Rogers Elementary,,42.085215,-79.222708,,,,,,,
wyv1,,Cole Ave & Foote Ave,,42.081868,-79.229639,,,,,,,
5fez,,S Main St & Newland Ave,,42.086185,-79.234644,,,,,,,
qu4v,,Sinclairville Post Office,,42.264062,-79.260397,,,,,,,
kr6p,,Conewango Good as New,,42.239143,-79.060006,,,,,,,
dvl3,,Ellington Town Park - Thornton Rd,,42.220313,-79.113065,,,,,,,
17s1,,Kennedy Supermarket,,42.157950,-79.102479,,,,,,,
zwix,,Pine Bluff Trailer Park (OR),,42.107952,-79.127457,,,,,,,
6cli,,Cherry Creek Sub Shop,,42.293991,-79.099602,,,,,,,
c50g,,Falconer HSBC (OR),,42.119088,-79.197960,,,,,,,
8mw1,,Ellington Town Park (OR),,42.220344,-79.112929,,,,,,,
hsem,,Conewango Good as New (OR),On Request,42.239183,-79.060066,,,,,,,
lni1,,Cherry Creek Sub Shop (OR),On Request,42.293974,-79.099676,,,,,,,
d67j,,Frewsburg Town Hall,,42.052686,-79.160321,,,,,,,
hoca,,Westfield (Elm St Parking Lot),,42.322793,-79.576394,,,,,,,
4gpa,,Mayville County Office,,42.254184,-79.505047,,,,,,,
pt0e,,Brocton Country Fair (OR),On Request,42.389488,-79.438743,,,,,,,
ri3e,,Portland Post Office (OR),On Request,42.378833,-79.470132,,,,,,,
o9c7,,Family Court (OR),2 Academy St (On Request),42.325019,-79.573662,,,,,,,
ccy4,,Fredonia-Water Street,,42.439892,-79.331261,,,,,,,
gpyq,,Fredonia-Water Street (OR),On Request,42.439872,-79.331342,,,,,,,
ugbu,,Brocton Country Fair,,42.389366,-79.438710,,,,,,,
1p8a,,Portland Post Office,,42.378663,-79.470062,,,,,,,
lv4j,,Westfield (Elm St Parking Lot) (OR),On Request,42.322790,-79.576480,,,,,,,
364771,364771,Methodist Gardens (OR),Call CARTS Office,42.125395,-79.197350,,,0,,,,
